	English words/sentences	French words/sentences
540	This is a once-in-a-lifetime chance.	C'est une chance unique dans la vie.
541	We didn't want to go, but we had to.	Nous ne voulions pas, mais nous avons dû y aller.
542	When I grow up, I want to be a king.	Lorsque je serai grand, je veux être roi.
543	You don't have a lot to say, do you?	Vous n'avez pas grand-chose à dire, non ?
544	You don't have a lot to say, do you?	Tu n'as pas grand-chose à dire, non ?
545	You don't think I can do it, do you?	Tu ne penses pas que je puisse le faire, n'est-ce pas ?
546	You don't think I can do it, do you?	Vous ne pensez que je puisse le faire, n'est-ce pas ?
547	As far as I know, she is a kind girl.	D'après ce que je sais c'est une gentille fille.
548	As soon as I got home, I went to bed.	Dès que je fus à la maison, j'allai au lit.
549	Hi, my name is Tom. What's your name?	Salut, je suis Tom. Quel est ton nom?
550	I'd like to go with you, but I can't.	J'aimerais y aller avec toi mais je ne peux pas.
551	I'd like to go with you, but I can't.	J'aimerais y aller avec vous mais je ne peux pas.
552	Hurry up! If you don't, we'll be late.	Dépêchons-nous ! Nous allons être en retard.
553	I don't see a horse, but I see a wolf.	Je ne vois pas de cheval mais je vois un loup.
554	I have a coat, but I don't have a hat.	J'ai un manteau, mais je n'ai pas de chapeau.
555	If I knew what to do, I'd be doing it.	Si je savais quoi faire, je le ferais.
556	I don't care how you do it. Just do it.	Je me fiche de comment vous le faites. Simplement, faites-le !
557	I don't care how you do it. Just do it.	Je me fiche de comment tu le fais. Simplement, fais-le !
558	I don't have a choice. I have to do it.	Je n'ai pas le choix. Je dois le faire.
559	I don't want to do that, but I have to.	Je n'ai pas envie de le faire, mais je dois le faire.
560	"I'd like to be alone if you don't mind."""	J'aimerais être seul, si tu n'y vois pas d'inconvénient.
561	I'm scared too, so I'm not going to go.	J'ai peur également, donc je ne vais pas m'y rendre.
562	Call 1-800-828-6322 for a free brochure.	Appelez le 1-800-828-6322 pour une brochure gratuite.
563	He doesn't want me to go, but I mean to.	Il ne veut pas que je parte, mais j'en ai l'intention.
564	He's got a boy-next-door look about him.	Il a un air de garçon d'à coté.
565	I don't do that as often as I'd like to.	Je ne fais pas ça aussi souvent que je le voudrais.
566	I don't know if I'll have time to do it.	Je ne sais pas si j'aurai le temps de le faire.
567	I don't know, but I'm going to find out.	Je l'ignore mais je vais le découvrir.
568	I have to lose weight, so I'm on a diet.	Je dois perdre du poids alors je suis au régime.
569	I told you not to call me Tom, didn't I?	Je t'ai dit de ne pas m'appeler Tom, non ?
570	I told you not to call me Tom, didn't I?	Je vous ai dit de ne pas m'appeler Tom, n'est-ce pas ?
571	I'm at work now, so I'll call you later.	Je suis au travail maintenant, aussi je vous appellerai plus tard.
572	I'm in a hurry, so I'll make this quick.	Je suis pressé, alors je vais faire vite.
573	I'm so sorry. I didn't mean to kick you.	Je suis vraiment désolé. Je n'avais pas l'intention de vous donner un coup de pied.
574	I'm tired of working a nine-to-five job.	Je suis fatigué d'avoir des horaires de travail neuf heures-cinq heures.
575	If I won the lottery, I'd buy you a car.	Si je gagnais au loto, je t'achèterais une voiture.
576	If you tell Tom what to do, he'll do it.	Si tu dis à Tom ce qu'il faut faire, il le fera.
577	If you want me to, I'll do that for you.	Si tu veux que je le fasse, je le ferai pour toi.
578	If you want me to, I'll do that for you.	Si vous voulez que je le fasse, je le ferai pour vous.
579	My bag is too old. I must buy a new one.	Mon sac est trop vieux. Je dois en acheter un neuf.
580	Well, if you didn't do it, then who did?	Eh bien, si tu ne l'as pas fait, alors qui l'a fait ?
581	Well, if you didn't do it, then who did?	Eh bien, si vous ne l'avez pas fait, alors qui l'a fait ?
582	Daddy, let's see if you can out-stare me.	Papa, voyons si tu peux soutenir mon regard plus longtemps que moi.
583	Do you go by bus, by train, or by subway?	Y allez-vous en bus, en train ou en métro ?
584	Every time I go to see him, he is in bed.	À chaque fois que je vais le voir, il est dans son lit.
585	I can't do it alone. You have to help me.	Je ne peux le faire seul. Il vous faut m'aider.
586	I can't do it alone. You have to help me.	Je ne peux le faire seule. Il vous faut m'aider.
587	I can't do it alone. You have to help me.	Je ne peux le faire seul. Il te faut m'aider.
588	I can't do it alone. You have to help me.	Je ne peux le faire seule. Il te faut m'aider.
589	I don't get home as often as I'd like to.	Je ne rentre pas aussi souvent que je l'aimerais.
590	I don't have enough money, so I can't go.	Je n'ai pas assez d'argent donc je ne peux pas y aller.
591	I don't know why they do it, but they do.	Je ne sais pas pourquoi ils le font, mais ils le font.
592	I don't need you to tell me how to do it.	Je n'ai pas besoin que tu me dises comment le faire.
593	I don't need you to tell me how to do it.	Je n'ai pas besoin que vous me disiez comment faire.
594	I'd be lying if I said I didn't like Tom.	Je mentirais si je disais que je n'aimais pas Tom.
595	I'd buy a larger TV if I had room for it.	J'achèterais une télévision plus grande si j'avais de la place pour.
596	I'm going for a run. Do you want to come?	Je vais courir. Tu veux venir ?
597	I'm going for a run. Do you want to come?	Je vais courir. Voulez-vous venir ?
598	I'm sorry, I don't know what else to say.	Je suis désolée, je ne sais pas quoi dire d'autre.
599	I'm sorry, I don't know what else to say.	Désolé, je ne sais pas quoi dire d'autre.
600	If I don't do that now, I'll never do it.	Si je ne le fais pas maintenant, je ne le ferai jamais.
601	I don't want to buy it if I don't need it.	Je ne veux pas l'acheter si je n'en ai pas besoin.
602	I'd like to give you the key, but I can't.	J'aimerais te donner la clé, mais je ne peux pas.
603	I'd like to give you the key, but I can't.	J'aimerais vous donner la clé, mais je ne peux pas.
604	It's not a good car, but it's still a car.	Ce n'est pas une bonne voiture mais c'est toujours une voiture.
605	"Won't you come with us? I'd be glad to."""	« Tu ne veux pas venir avec nous ? » « Si, avec plaisir. »
606	I don't want to go if you don't go with me.	Je ne veux pas y aller si tu n'y vas pas avec moi.
607	I don't want to go if you don't go with me.	Je ne veux pas y aller si tu ne viens pas avec moi.
608	I'd like to help Tom, but I don't know how.	J'aimerais aider Tom, mais je ne sais pas comment.
609	I've got a job and I don't want to lose it.	J'ai un boulot et ne veux pas le perdre.
610	If you don't want to go, you don't have to.	Si tu ne veux pas y aller, tu n'y es pas obligé.
611	If you don't want to go, you don't have to.	Si tu ne veux pas y aller, tu n'y es pas obligée.
612	If you don't want to go, you don't have to.	Si vous ne voulez pas y aller, vous n'y êtes pas obligé.
613	If you don't want to go, you don't have to.	Si vous ne voulez pas y aller, vous n'y êtes pas obligée.
614	If you don't want to go, you don't have to.	Si vous ne voulez pas y aller, vous n'y êtes pas obligés.
615	If you don't want to go, you don't have to.	Si vous ne voulez pas y aller, vous n'y êtes pas obligées.
616	It's the story of a boy, a girl, and a cat.	C'est l'histoire d'un garçon, d'une fille et d'un chat.
617	"Coffee? Is it instant?"" ""Yes."" ""Then no."""	« Café ? » « Instantané ? » « Oui. » « Alors, non. »
618	Don't let go of my hand, or you'll get lost.	Ne lâche pas ma main, ou tu vas te perdre.
619	I don't know how you did it, but you did it.	Je ne sais pas comment vous l'avez fait mais vous l'avez fait.
620	I don't know how you did it, but you did it.	Je ne sais pas comment tu l'as fait mais tu l'as fait.
621	I lost my watch, so I have to buy a new one.	J'ai perdu ma montre, donc je dois en acheter une nouvelle.
622	I plan to go. I don't care if you do or not.	Je prévois de m'y rendre. Je me fiche que tu y ailles ou pas.
623	I plan to go. I don't care if you do or not.	Je prévois d'y aller. Ça m'est égal que vous y alliez aussi ou pas.
624	I'll be OK as long as I stay awake, won't I?	Ça ira tant que je reste debout, non ?
625	If I won the lottery, I'd buy you a new car.	Si je gagnais à la loterie, je t'achèterais une nouvelle voiture.
626	Let's do this again. It's been a lot of fun.	Refaisons-le. C'était très marrant.
627	Shut up. If you don't, you'll be thrown out.	Ferme-la. Sinon, tu seras viré.
628	Shut up. If you don't, you'll be thrown out.	Fermez-la. Sinon, vous serez viré.
629	Shut up. If you don't, you'll be thrown out.	Fermez-la. Sinon, vous serez virés.
630	Shut up. If you don't, you'll be thrown out.	Fermez-la. Sinon, vous serez virée.
631	Shut up. If you don't, you'll be thrown out.	Fermez-la. Sinon, vous serez virées.
632	Shut up. If you don't, you'll be thrown out.	Ferme-la. Sinon, tu seras virée.
633	As soon as I have it, I'll forward it to you.	Dès que j'en dispose, je vous le transmets.
634	As soon as I have it, I'll forward it to you.	Dès que j'en dispose, je te le transmets.
635	Can I take my shirt off? It's so hot in here.	Puis-je retirer ma chemise ? Il fait si chaud là-dedans.
636	Don't do the crime, if you can't do the time.	Ne commets pas le crime si tu ne peux pas purger la peine.
637	Don't do the crime, if you can't do the time.	Ne commettez pas le crime si vous ne pouvez pas purger la peine.
638	He'll be sure to smell a rat if I'm with you.	Il aura sûrement la puce à l'oreille si je suis avec toi.
639	I am tired of the day-to-day routine of life.	Je suis fatigué de la routine quotidienne de la vie.
640	I think it's time for me to buy my son a car.	Je pense qu'il est temps pour moi d'acheter une voiture à mon fils.
641	I think it's time for me to buy my son a car.	Je pense qu'il est temps pour moi d'acheter une voiture pour mon fils.
642	I used to do that, but I don't do it anymore.	Je le faisais mais je ne le fais plus.
643	I used to do that, but I don't do it anymore.	Je faisais ça avant, mais plus maintenant.
644	I want a car, but I have no money to buy one.	Je veux une voiture mais je n'ai pas d'argent pour l'acheter.
645	I'm sorry for what I said. I was out of line.	Je suis désolé d'avoir dit ce que j'ai dit. J'ai dérapé.
646	I'm sorry for what I said. I was out of line.	Je suis désolée d'avoir dit ce que j'ai dit. J'ai dérapé.
647	I'm sorry, but I didn't know it was a secret.	Pardonnez-moi, mais j'ignorais que c'était un secret.
648	If he's still alive, he'd be very old by now.	S'il était encore vivant, il serait très vieux à l'heure qu'il est.
649	If we're going to do this, let's do it right.	Si nous allons faire cela, faisons-le correctement.
650	I don't care who pays, as long as it isn't me.	Je me fiche de savoir qui paie, du moment que ce n'est pas moi.
651	I'm sorry, I don't let in people I don't know.	Je suis désolé, je n'admets pas les gens que je ne connais pas.
652	If you don't want to do it, you don't have to.	Si tu ne veux pas le faire, tu n'y es pas obligé.
653	If you don't want to do it, you don't have to.	Si vous ne voulez pas le faire, vous n'y êtes pas obligé.
654	If you don't want to do it, you don't have to.	Si tu ne veux pas le faire, tu n'y es pas obligée.
655	If you don't want to do it, you don't have to.	Si vous ne voulez pas le faire, vous n'y êtes pas obligés.
656	If you don't want to do it, you don't have to.	Si vous ne voulez pas le faire, vous n'y êtes pas obligée.
657	If you don't want to do it, you don't have to.	Si vous ne voulez pas le faire, vous n'y êtes pas obligées.
658	I'm sorry, I don't buzz in people I don't know.	Je suis désolé, je n'admets pas les gens que je ne connais pas.
659	I'm sorry, I don't buzz in people I don't know.	Désolé, je ne laisse pas entrer les gens que je ne connais pas.
660	Tom, I'm in trouble. I need you to come get me.	Tom, je suis dans le pétrin. Je veux que tu viennes me chercher.
661	When I got home, I had a nice, ice-cold shower.	Lorsque je suis rentré chez moi, j'ai pris une bonne douche glacée.
662	When I got home, I had a nice, ice-cold shower.	Lorsque je suis rentrée chez moi, j'ai pris une bonne douche glacée.
663	A nice day, isn't it? Why not go out for a walk?	Une belle journée, n'est-ce pas ? Pourquoi ne pas sortir faire une balade ?
664	From now on, I'm going to say what's on my mind.	Désormais, je vais dire ce que je pense.
665	He's a man of his word, so you can count on him.	C'est un homme de parole, alors vous pouvez compter sur lui.
666	I don't care if you go or not. I'm going anyway.	Je me fiche que tu y ailles ou pas. J'y vais de toutes façons.
667	I don't care if you go or not. I'm going anyway.	Je me fiche que vous y alliez ou pas. J'y vais de toutes façons.
668	I'm sorry that I can't be who you want me to be.	Je suis désolé de ne pouvoir être celui que tu voudrais que je sois.
669	I'm sorry that I can't be who you want me to be.	Je suis désolée de ne pouvoir être celle que tu voudrais que je sois.
670	I've changed. I'm not the same man I used to be.	J'ai changé. Je ne suis plus l'homme que j'étais.
671	Since it's nice out, I'd like to go take a walk.	Comme il fait beau, j'ai envie d'aller me promener.
672	Since it's nice out, I'd like to go take a walk.	Comme il fait beau dehors, j'aimerais aller faire une promenade.
673	As soon as I get to London, I'll drop you a line.	Aussitôt que j'arrive à Londres, je te laisserai un mot.
674	I don't have to do that if I don't want to, do I?	Je n'ai pas à faire cela si je ne le veux pas, si ?
675	I miss you. I need to see you. Could I come over?	Tu me manques. J'ai besoin de te voir. Puis-je venir ?
676	I'm sorry, but I can't find the book you lent me.	Je suis désolé mais je n'arrive pas à trouver le livre que tu m'as prêté.
677	If you buy me an ice cream, I'll give you a kiss.	Si tu me paies une glace, je te donnerai un baiser.
678	If you don't like this, you don't have to eat it.	Si tu n'aimes pas ça, tu n'es pas obligé de le manger.
679	If you don't like this, you don't have to eat it.	Si vous n'aimez pas ça, vous n'êtes pas obligés de le manger.
680	In case I am late, you don't have to wait for me.	Au cas où je serais en retard, vous n'avez pas besoin de m'attendre.
681	In case I am late, you don't have to wait for me.	Au cas où je serais en retard, tu n'as pas besoin de m'attendre.
682	To tell the truth, I'm not in favor of it at all.	À dire vrai, je n'approuve pas du tout.
683	Yes, it's true, but he doesn't need to know that.	Oui, c'est vrai, mais il n'a pas besoin de le savoir.
684	I am not sure, but I think I want to be a teacher.	Je ne suis pas sûr, mais je pense vouloir être enseignant.
685	I don't care why Tom did it. I'm just glad he did.	Ça m'est égal de savoir pourquoi Tom l'a fait. Mais je suis bien content qu'il l'ait fait.
686	I don't know if we're going to be able to do that.	Je ne sais pas si on va pouvoir faire ça.
687	I hope he'll be able to come! I'd like to see him.	Pourvu qu'il puisse venir ! J'aimerais le voir.
688	I told her not to let go of the rope, but she did.	Je lui ai dit de ne pas lâcher la corde, mais c'est ce qu'elle a fait.
689	I wish I could go with you, but as it is, I can't.	Je voudrais pouvoir partir avec toi, mais tel que c'est, je ne peux pas.
690	You don't need to thank me. I'm here to serve you.	Il ne vous est point nécessaire de me remercier. Je suis ici pour vous servir.
691	You don't need to thank me. I'm here to serve you.	Tu n'as pas besoin de me remercier. Je suis là pour te servir.
692	A few days ago, you didn't even want to talk to me.	Il y a quelques jours, tu ne voulais même pas m'adresser la parole.
693	For me, being a doctor isn't a job, it's a calling.	Pour moi, être médecin n'est pas un emploi, c'est une vocation.
694	He said he would give me a call, but he hasn't yet.	Il a dit qu'il m'appellerait mais il ne l'a pas encore fait.
695	I could tell you that I love you, but I'd be lying.	Je pourrais te dire que je t'aime, mais je mentirais.
696	I didn't use to like wine, but now I like it a lot.	Je n'aimais pas le vin, mais maintenant j'aime beaucoup.
697	I don't know if I can make it to your party or not.	J'ignore si je peux assister à votre fête ou pas.
698	I don't know if I can make it to your party or not.	J'ignore si je peux assister ou pas à votre fête.
699	I don't know if I'll be able to help you on Monday.	Je ne sais pas si je serai en mesure de vous aider, lundi.
700	I'm sure if you put your mind to it, you can do it.	Je suis certain que si vous y consacrez votre esprit, vous pouvez le faire.
701	I've got no place to go, so I'm going to stay here.	Je n'ai nulle part où aller alors je vais rester ici.
702	What! This T-shirt is 3,000 yen? This is a rip-off!	Quoi ? Ce T-shirt coûte 3000 yens ? C'est une arnaque !
703	I don't have a lot of time. Can you take care of it?	Je n'ai pas beaucoup de temps. Est-ce que tu peux t'en occuper ?
704	If you don't mind, I'd like to be alone for a while.	Si vous n'y voyez pas d'inconvénient, j'aimerais être seul un moment.
705	If you don't mind, I'd like to be alone for a while.	Si vous n'y voyez pas d'inconvénient, j'aimerais être seule un moment.
706	If you don't mind, I'd like to be alone for a while.	Si tu n'y vois pas d'inconvénient, j'aimerais être seul un moment.
707	If you don't mind, I'd like to be alone for a while.	Si tu n'y vois pas d'inconvénient, j'aimerais être seule un moment.
708	It's not that I don't want to go, I can't afford to.	Ce n'est pas que je ne veux pas y aller, c'est que je ne peux pas me le permettre.
709	I don't care why Tom did it. I'm just glad he did it.	Ça m'est égal de savoir pourquoi Tom l'a fait. Mais je suis bien content qu'il l'ait fait.
710	If you need my advice, I'd be glad to give it to you.	Si vous aviez besoin de mes conseils, je serais ravi de vous les apporter.
711	If you need my advice, I'd be glad to give it to you.	Si tu avais besoin de mes conseils, je serais ravi de te les apporter.
712	If you're wrong, admit it. If you're right, be quiet.	Si tu as tort, admets-le. Si tu as raison, sois calme.
713	If you're wrong, admit it. If you're right, be quiet.	Si vous avez tort, admettez-le. Si vous avez raison, soyez calme.
714	If you've got a problem, I'd like to know what it is.	Si tu as un problème, j'aimerais savoir ce que c'est.
715	If you've got a problem, I'd like to know what it is.	Si vous avez un problème, j'aimerais savoir ce dont il s'agit.
716	It's a nice day, isn't it? Why not go out for a walk?	C'est une bonne journée, n'est-ce pas ? Pourquoi ne pas sortir faire une marche ?
717	Mommy, if I don't like the food, do I have to eat it?	Maman, si je n'aime pas la nourriture, suis-je obligé de la manger ?
718	"Don't wait for me. I wasn't going to wait for you."""	« Ne m'attends pas. » « Je n'allais pas t'attendre. »
719	I can see you're busy, so I'll get right to the point.	Je peux voir que vous êtes occupé donc je vais aller droit au but.
720	I can't afford to buy a used car, much less a new one.	Je ne peux pas me permettre d'acheter une voiture d'occasion, et encore moins une nouvelle.
721	I don't do that now, but I used to when I was younger.	Je ne fais plus ça maintenant, mais je le faisais quand j'étais plus jeune.
722	I don't want to be rich. I just don't want to be poor.	Je ne veux pas être riche. Je ne veux juste pas être pauvre.
723	I told my mom I was gay and it didn't faze her at all.	J'ai dit à ma mère que j'étais homo et ça ne l'a pas démontée le moins du monde.
724	If you don't want to give a speech, you don't have to.	Si tu ne veux pas prononcer de discours, ne te sens pas obligé.
725	If you don't want to give a speech, you don't have to.	Si tu ne veux pas prononcer de discours, ne te sens pas obligée.
726	If you want me to help you, all you have to do is ask.	Si tu veux que je t'aide, tout ce que tu as à faire est de demander.
727	If you want me to help you, all you have to do is ask.	Si tu veux que je vous aide, tout ce que tu as à faire est de demander.
728	If you want me to help you, all you have to do is ask.	Si vous voulez que je vous aide, tout ce que vous avez à faire est de demander.
729	If you want me to kiss you, all you have to do is ask.	Si tu veux que je t'embrasse, tout ce que tu as à faire est de demander.
730	If you want me to kiss you, all you have to do is ask.	Si vous voulez que je vous embrasse, tout ce que vous avez à faire est de demander.
731	Much as I'd like to come, I'm afraid I'll be too busy.	J'aimerais vraiment venir mais je crains de n'être trop occupé.
732	As soon as I can get the chance, I'll come for a visit.	Dès que j'en ai l'occasion, je viendrai rendre visite.
733	As soon as I find it, I'll bring it over to your place.	Dès que je mets la main dessus, je te l'apporte à ton domicile.
734	Even if she comes to see me, tell her I am not at home.	Même si elle devait passer, dis-lui que je ne suis pas à la maison.
735	I don't have to be here. I'm here because I want to be.	Il ne me faut pas être ici. J'y suis parce que je le veux.
736	I know you're busy, but can I talk to you for a minute?	Je sais que tu es occupé, mais est-ce que je peux te parler une minute ?
737	I know you're busy, but can I talk to you for a minute?	Je sais que tu es occupée, mais est-ce que je peux te parler une minute ?
738	I know you're busy, but can I talk to you for a minute?	Je sais que vous êtes occupé, mais est-ce que je peux vous parler une minute ?
739	I know you're busy, but can I talk to you for a minute?	Je sais que vous êtes occupés, mais est-ce que je peux vous parler une minute ?
740	I know you're busy, but can I talk to you for a minute?	Je sais que vous êtes occupée, mais est-ce que je peux vous parler une minute ?
741	I know you're busy, but can I talk to you for a minute?	Je sais que vous êtes occupées, mais est-ce que je peux vous parler une minute ?
742	I ordered way too much. I don't think I can eat it all.	J'ai commandé beaucoup trop. Je ne pense pas pouvoir tout manger.
743	I started a new blog. I'll do my best to keep it going.	J'ai commencé un nouveau bloc-notes. Je vais faire de mon mieux pour le faire vivre.
744	I'm a woman and I don't think that it's strange at all.	Je suis une femme et je ne pense pas du tout que c'est étrange.
745	If it's all right with you, I'll go home early today.	Si ça va pour toi, je vais rentrer à la maison plus tôt aujourd'hui.
746	In 1939, as in 1914, the world was on the brink of war.	En 1939, comme en 1914, le monde était au bord de la guerre.
747	Once a bad habit is formed, it's hard to get rid of it.	Une fois qu'une mauvaise habitude s'est installée, il est dur de s'en débarrasser.
748	"Please drop it in the mail if it's not out of your way."""	S'il te plaît, dépose le au courrier si ça ne te t'éloigne pas de ton chemin.
749	The number is 932-8647, but I don't know the area code.	Le numéro est 932-86-47, mais je ne connais pas l'indicatif régional.
750	Even though there was a no U-turn sign, I made a U-turn.	Même s'il y avait un panneau indiquant qu'il ne fallait pas faire demi-tour, j'en ai fait un.
751	He doesn't want to talk to me now, and I don't know why.	Il ne veut pas me parler, maintenant, et je ne sais pas pourquoi.
752	I don't think I'll be able to do what you want me to do.	Je ne pense pas que je serai capable de faire ce que tu veux que je fasse.
753	I'd love to go with you to the show, but I'm flat broke.	J'adorerais aller avec toi à la revue, mais je suis complètement fauché.
754	If you don't have this key, you won't be able to get in.	Si vous n'avez pas cette clé, vous ne serez dans l'incapacité d'entrer.
755	If you don't have this key, you won't be able to get in.	Si tu n'as pas cette clé, tu ne pourras pas entrer.
756	This year, the winter is mild, isn't it? It's very nice.	Cette année, l'hiver est doux, n'est-ce-pas ? C'est très agréable.
757	Tom's not much of a cook, but at least he gives it a go.	Tom ne cuisine pas très bien, mais au moins il essaye.
758	I don't know about the others, but as for me, I'm for it.	Je ne sais pas pour les autres, mais pour ce qui me concerne, je suis pour.
759	I don't know about the others, but as for me, I'm for it.	Je ne sais pas pour les autres, mais quant à moi, je suis pour.
760	I don't know about the others, but as for me, I'm for it.	Je ne sais pas pour les autres, mais en ce qui me concerne, je suis pour.
761	I wake up at six, but I don't get out of bed until seven.	Je me réveille à six heures, mais je ne me lève pas avant sept heures.
762	I wake up at six, but I don't get out of bed until seven.	Je me réveille à six heures, mais je ne sors pas du lit avant sept heures.
763	I'd like to be left alone for a while, if you don't mind.	J'aimerais que l'on me laisse seul un moment, si vous n'y voyez pas d'inconvénient.
764	If I had a dime for every time I heard that, I'd be rich.	Si j'avais reçu une pièce à chaque fois que j'ai entendu ça, je serais riche.
765	If you don't want to go to that party, you don't have to.	Si tu ne veux pas te rendre à la fête, tu n'y es pas obligé.
766	It's too far to walk to the station, so let's take a bus.	C'est trop loin pour aller à pied à la gare, aussi prenons l'autobus.
767	She doesn't want to talk to me now, and I don't know why.	Elle ne veut pas me parler, maintenant, et je ne sais pas pourquoi.
768	The hinges are really squeaky. Could you oil them please?,Les gonds grincent vraiment. Peux-tu les huiler	"s'il te plait ?"""
769	"When did you buy it? Let's see. I bought it last week."""	« Quand l'as-tu acheté ? » « Voyons voir... La semaine dernière. »
770	He is a man of his word, so if he said he'd help, he will.	C'est un homme de parole, donc s'il a dit qu'il aiderait, il le fera.
771	If I were rich, I would do so. As it is, I can do nothing.	Si j'étais riche, je le ferais. Au point où j'en suis, je ne peux rien faire.
772	Tom is not a lazy boy. As a matter of fact, he works hard.	Tom n'est pas paresseux. En fait, il travaille dur.
773	He's not lazy. On the contrary, I think he's a hard worker.	Il n'est pas fainéant. Au contraire, je crois que c'est un grand bosseur.
774	I can't tell you who's on the list. My boss told me not to.	Je ne peux pas vous dire qui est sur la liste. Mon patron m'a dit de ne pas le dire.
775	I don't care how much it costs. I'm going to buy it anyway.	Je me moque de combien cela coûte, je vais l'acheter de toute manière.
776	I don't want to have kids, and I don't want to get married.	Je ne veux pas avoir d'enfants ni me marier.
777	I'd like to stay and chat, but I've got a meeting to go to.	J'aimerais rester et discuter, mais je dois aller à une réunion.
778	If it's a good day tomorrow, let's go to the river to swim.	S'il fait beau demain, allons nager à la rivière.
779	Let's go to an all-you-can-eat place and have a big dinner.	Allons dans un buffet à volonté et nous faire un gros festin.
780	Tell her you like her. Don't be afraid. She won't bite you.	Dis-lui que tu l'aimes. N'aie pas peur. Elle ne va pas te mordre.
781	"A bird is known by its song and a man by his way of talking."""	Un oiseau est reconnu à son chant, et un homme à ce qu'il dit.
782	Do you want to go out or stay at home? Either is OK with me.	Veux-tu sortir ou rester à la maison ? Les deux me vont.
783	Hello! Fancy meeting you here! It's a small world, isn't it?	Hé ! Je ne m'attendais pas à te rencontrer ici ! Le monde est petit, n'est-ce pas ?
784	Her son is a mama's boy. He has to be with her all the time.	Son fils est un fils à maman. Il la suit partout.
785	I am not sure yet if I will go to a university or get a job.	Je ne suis pas encore sûr si j'irai à l'université ou si je prendrai un emploi.
786	I don't think she'll be happy living with her mother-in-law.	Je ne pense pas qu'elle sera heureuse de vivre avec sa belle-mère.
787	If I had it all to do over again, I wouldn't change a thing.	Si je devais tout recommencer, je ne changerais rien.
788	It's so hot that you could cook an egg on the hood of a car.	Il fait tellement chaud qu'on pourrait faire cuire des œufs sur le capot des voitures.
789	Look, I've had a long day and I want to go to bed right now.	Écoute, j'ai eu une longue journée et je veux aller me coucher maintenant.
790	Tom isn't the one who told me that I didn't need to do that.	Tom n'est pas celui qui m'a dit que je n'avais pas besoin de faire cela.
791	"What's going on in the cave? I'm curious. I have no idea."""	« Qu'est-ce qu'il se passe dans la grotte ? Je suis curieux. » « Je n'en ai aucune idée. »
792	"What's going on in the cave? I'm curious. I have no idea."""	« Qu'est-ce qu'il se passe dans la grotte ? Je me demande vraiment. » « Je n'en ai pas la moindre idée. »
793	I can't tell you his name, but I can tell you where he lives.	Je ne peux pas vous dire son nom, mais je peux vous dire où il vit.
794	I can't tell you his name, but I can tell you where he lives.	Je ne peux pas te dire son nom, mais je peux te dire où il habite.
795	I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire combien je suis heureux que tu sois venu nous rendre visite.
796	I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire combien je suis heureuse que tu sois venu nous rendre visite.
797	I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire combien je suis heureux que tu sois venue nous rendre visite.
798	I can't tell you how happy I am that you've come to visit us.	Je ne peux pas te dire combien je suis heureuse que tu sois venue nous rendre visite.
799	I can't tell you how happy I am that you've come to visit us.	Je ne peux pas vous dire combien je suis heureux que vous soyez venu nous rendre visite.
800	I don't know how I did it. What's important is that I did it.	J'ignore comment je l'ai fait. Ce qui importe est que je l'ai fait.
801	Last summer, I had a chance to go to Boston, but I didn't go.	Au denier été, j'avais une chance d'aller à Boston, mais je n'y suis pas allé.
802	I don't want to rush you, but let's try to catch the next bus.	Je ne voudrais pas te presser, mais essayons de prendre le prochain bus.
803	I had a few hours free, so I sat under a tree and read a book.	Je disposai de quelques heures de libres, aussi je m'assis sous un arbre et lus un livre.
804	I've done the best I could to help you. The rest is up to you.	J'ai fait de mon mieux pour t'aider. Le reste dépend de toi.
805	It took more than a month to get over my cold, but I'm OK now.	Cela m'a pris plus d'un mois pour me débarrasser de mon rhume, mais je vais bien maintenant.
806	A man's worth lies not so much in what he has as in what he is.	La valeur d'un homme réside moins dans ce qu'il possède que dans ce qu'il est.
807	A man's worth lies not so much in what he has as in what he is.	La valeur d'un homme ne réside pas tant dans ce qu'il a que dans ce qu'il est.
808	Getting up at 6 a.m. was hard at first, but now I'm used to it.	Me lever à six heures du matin était difficile au début, mais j'y suis désormais accoutumé.
809	I didn't know how to do it, but I was willing to give it a try.	J'ignorais comment le faire, mais j'étais prêt à me lancer.
810	I didn't know how to do it, but I was willing to give it a try.	J'ignorais comment le faire mais j'étais disposé à essayer.
811	I didn't want to work late, but the boss told me that I had to.	Je ne voulais pas travailler tard mais le patron m'a dit que je le devais.
812	I didn't want to work late, but the boss told me that I had to.	Je ne voulais pas travailler tard mais la patronne m'a dit que je le devais.
813	I went out of my way to visit my friend, but he wasn't at home.	J'ai fait un détour pour rendre visite à un ami, mais il n'était pas chez lui.
814	I'm sorry, but could you move over a bit so I have room to sit?	Excusez-moi, mais est-ce que vous pourriez vous déplacer un peu pour que je puisse m'asseoir ?
815	We can't add days to our life, but we can add life to our days.	Nous ne pouvons ajouter de jours à nos vies, mais nous pouvons ajouter de la vie à nos jours.
816	I hadn't planned to do that, but I can if you really want me to.	Je n'avais pas prévu de faire cela mais je peux le faire, si vous le voulez vraiment.
817	I hadn't planned to do that, but I can if you really want me to.	Je n'avais pas prévu de faire cela mais je peux le faire, si tu le veux vraiment.
